股票代码,股票名称,当前价格,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SH603927,中科软,24.88,-0.56,-2.2%,-9.06%,5699713,144934973.87,1.25%,25.575,2.211%,14768768000
SH600845,宝信软件,45.45,-1.35,-2.88%,-25.28%,3135210,144304165.84,0.29%,37.986,2.2%,69090296825
SH600271,航天信息,10.86,-0.43,-3.81%,-18.89%,13066982,144273732.56,0.71%,19.637,1.529%,20122327169
SH600663,陆家嘴,10.49,-0.23,-2.15%,-3.41%,13635209,144247542.13,0.46%,9.817,5.1%,42318731146
SH600293,三峡新材,3.57,-0.21,-5.56%,-8.23%,39078912,143865414.84,3.37%,,,4141717814
SH600061,国投资本,6.83,-0.08,-1.16%,-16.91%,20981972,143764136.77,0.33%,9.156,2.196%,43884817448
SH603926,铁流股份,14.62,0,0,-10.25%,9698122,143561337,6.05%,11.565,3.103%,2581358151
SH600163,中闽能源,7.31,0,0,-16.65%,19767831,143537060.98,1.71%,20.583,,13910901805
SH600390,五矿资本,5,-0.1,-1.96%,-6.02%,28399671,143388273.5,0.63%,5.892,7.04%,22490327295
SH601002,晋亿实业,4.91,-0.35,-6.65%,-5.03%,28397741,143245327.47,3.34%,21.896,,4710074620
SH600993,马应龙,19.89,-0.75,-3.63%,-30.84%,7109484,143065293.19,1.65%,18.454,1.76%,8573661892
SH600518,*ST康美,2.7,-0.05,-1.82%,-12.62%,52203298,142894738.35,0.38%,,,37432440063
SH600621,华鑫股份,11.19,-0.09,-0.8%,-19.15%,12677804,142733061,1.2%,23.996,1.251%,11871463077
SH601038,一拖股份,10.99,-0.91,-7.65%,-22%,12503977,142727062.71,2.11%,28.18,1.065%,12348861572
SH600879,航天电子,6.23,-0.15,-2.35%,-24.39%,22612086,141940266.99,0.83%,30.847,,16941060099
SH600408,ST安泰,3.92,-0.11,-2.73%,6.23%,35573335,141853726.93,3.53%,13.927,,3946656000
SH600833,第一医药,9.62,-0.82,-7.85%,2.89%,14373400,141723681,6.44%,43.426,0.728%,2146090658
SH603348,文灿股份,32.26,-0.83,-2.51%,-44.77%,4355579,141649984.57,1.69%,107.749,0.464%,8456977162
SH600939,重庆建工,4.21,-0.32,-7.06%,2.93%,32634896,141631212.83,1.72%,17.338,1.02%,8006498309
SH600435,北方导航,8.3,-0.31,-3.6%,-22.28%,16696861,141590744.67,1.12%,92.563,0.301%,12361356000
SH600523,贵航股份,20.85,-1.03,-4.71%,-14.55%,6665147,140672432.76,1.65%,54.731,0.638%,8429891022
SH603809,豪能股份,15.39,+0.43,+2.87%,-25.18%,9125050,140402329.51,3.07%,21.657,1.3%,4661438317
SH605018,长华股份,20.08,+0.2,+1.01%,6.36%,7096900,140235995,17.03%,45.415,0.886%,9407205968
SH600116,三峡水利,9.63,-0.51,-5.03%,-17.41%,14302249,140022146.94,1.06%,17.585,1.038%,18413936166
SH601333,广深铁路,2.09,-0.07,-3.24%,-6.7%,65707594,139329458.16,1.16%,,,14804592330
